study_protocol,randomized_treatment,subject_status,tpc,study_drug_dispensed,additional_study_drug_dispensed,additional_study_drug_prefix,country,visit_days,dispensing_quantity,dispensing_frequency_days,max_cycles
GS-US-592-6173,Sacituzumab Govitecan plus Pembrolizumab,Randomized,null,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-592-6173,Sacituzumab Govitecan plus Pembrolizumab,Randomized,null,null,Pembrolizumab,Pembro,null,1,2,21,35
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Randomized,Nab-Paclitaxel 100 mg/m2,Nab-Paclitaxel,null,null,null,"1,8,15",2,28,null
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Randomized,Nab-Paclitaxel 100 mg/m2,null,Pembrolizumab,Pembro,null,1,2,21,35
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Randomized,Paclitaxel 90 mg/m2,Paclitaxel,null,null,null,"1,8,15",2,28,null
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Randomized,Paclitaxel 90 mg/m2,null,Pembrolizumab,Pembro,null,1,2,21,35
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Randomized,Gemcitabine 1000 mg/m2 & Carboplatin AUC 2,Gemcitabine,null,null,null,"1,8",1,21,null
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Randomized,Gemcitabine 1000 mg/m2 & Carboplatin AUC 2,Carboplatin,null,null,null,"1,8",1,21,null
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Randomized,Gemcitabine 1000 mg/m2 & Carboplatin AUC 2,null,Pembrolizumab,Pembro,null,1,2,21,35
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Crossover Approved,Nab-Paclitaxel 100 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Crossover Approved,Paclitaxel 90 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-592-6173,Treatment of Physician's Choice plus Pembrolizumab,Crossover Approved,Gemcitabine 1000 mg/m2 & Carboplatin AUC 2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-592-6238,Sacituzumab Govitecan 10 mg/kg,Randomized,null,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-592-6238,Treatment of Physician's Choice,Randomized,Nab-Paclitaxel 100 mg/m2,Nab-Paclitaxel,null,null,null,"1,8,15",2,28,null
GS-US-592-6238,Treatment of Physician's Choice,Randomized,Paclitaxel 90 mg/m2,Paclitaxel,null,null,null,"1,8,15",2,28,null
GS-US-592-6238,Treatment of Physician's Choice,Randomized,Gemcitabine 1000 mg/m2 & Carboplatin AUC 2,Gemcitabine,null,null,null,"1,8",1,21,null
GS-US-592-6238,Treatment of Physician's Choice,Randomized,Gemcitabine 1000 mg/m2 & Carboplatin AUC 2,Carboplatin,null,null,null,"1,8",1,21,null
GS-US-592-6238,Treatment of Physician's Choice,Crossover Approved,Nab-Paclitaxel 100 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-592-6238,Treatment of Physician's Choice,Crossover Approved,Paclitaxel 90 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-592-6238,Treatment of Physician's Choice,Crossover Approved,Gemcitabine 1000 mg/m2 & Carboplatin AUC 2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-682-6769,Sacituzumab Govitecan 10 mg/kg,Randomized,Paclitaxel 80 mg/m2,SacituzumabGovitecan,null,null,null,"1,8",4,21,null
GS-US-682-6769,Sacituzumab Govitecan 10 mg/kg,Randomized,Doxorubicin 60 mg/m2,SacituzumabGovitecan,null,null,null,"1,8",4,21,null
GS-US-682-6769,Treatment of Physician’s Choice,Randomized,Paclitaxel 80 mg/m2,Paclitaxel 100 mg/vial,null,null,null,"1,8,15",2,28,null
GS-US-682-6769,Treatment of Physician’s Choice,Randomized,Doxorubicin 60 mg/m2,Doxorubicin 50 mg/vial,null,null,null,1,3,21,null
GS-US-682-6769,Treatment of Physician’s Choice,Randomized,Doxorubicin 60 mg/m2,China - Doxorubicin 10mg/vial,null,null,China,1,11,21,null
GS-US-600-6165,Treatment Group A:Sacituzumab Govitecan (SG),Randomized,null,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-600-6165,Treatment Group B:Topotecan,Randomized,Topotecan,Topotecan 4mg,null,null,null,"1,2,3,4,5",1,21,null
GS-US-600-6165,Treatment Group B:Topotecan,Randomized,Topotecan,China-Topotecan 2mg,null,null,China,"1,2,3,4,5",2,21,null
GS-US-600-6165,Treatment Group B:Topotecan,Randomized,Amrubicin,Japan-Amrubicin 20mg,null,null,Japan,"1,2,3",4,21,null
GS-US-598-6168,Sacituzumab Govitecan,Randomized,Paclitaxel 80 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-598-6168,Sacituzumab Govitecan,Randomized,Nab-Paclitaxel 100 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-598-6168,Sacituzumab Govitecan,Randomized,Capecitabine 1000 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-598-6168,Sacituzumab Govitecan,Randomized,Capecitabine 1250 mg/m2,Sacituzumab Govitecan,null,null,null,"1,8",4,21,null
GS-US-598-6168,Treatment of Physician Choice,Randomized,Paclitaxel 80 mg/m2,Paclitaxel (100 mg/vial),null,null,null,"1,8,15",2,28,null
GS-US-598-6168,Treatment of Physician Choice,Randomized,Nab-Paclitaxel 100 mg/m2,nab-Paclitaxel (100 mg/vial),null,null,null,"1,8,15",2,28,null
GS-US-598-6168,Treatment of Physician Choice,Randomized,Capecitabine 1000 mg/m2,"Capecitabine 150mg, 60 ct.",null,null,null,1,4,21,null
GS-US-598-6168,Treatment of Physician Choice,Randomized,Capecitabine 1000 mg/m2,"Capecitabine 500mg, 120 ct.",null,null,null,1,1,21,null
